CPU: Intel Core/i7, speed 2393.98 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 90000
samples  %        linenr info                 app name                 symbol name
354       0.0071  (no location information)   libz.so.1.2.8            /lib/x86_64-linux-gnu/libz.so.1.2.8
352       0.0070  (no location information)   kallsyms                 memset
348       0.0070  tm-threads.c:1965           suricata                 TmThreadCheckThreadState
347       0.0069  counters.c:166              suricata                 StatsIncr.part.7
346       0.0069  (no location information)   kallsyms                 __alloc_page_frag
345       0.0069  (no location information)   kallsyms                 call_function_interrupt
340       0.0068  detect-engine-address.c:920 suricata                 DetectAddressParse2
338       0.0068  output-tx.c:89              suricata                 OutputTxLog
337       0.0067  detect-engine-address.c:1679 suricata                 DetectAddressMatchIPv4
332       0.0066  (no location information)   kallsyms                 __schedule
331       0.0066  detect-engine-address.c:1798 suricata                 DetectAddressMatch
331       0.0066  detect-engine-iponly.c:586  suricata                 IPOnlyCIDRListParse2
325       0.0065  (no location information)   kallsyms                 rcu_irq_exit
321       0.0064  detect-engine-siggroup.c:1025 suricata                 SigGroupHeadAppendSig
319       0.0064  output-json-alert.c:459     suricata                 JsonAlertLogCondition
311       0.0062  (no location information)   kallsyms                 put_page
301       0.0060  (no location information)   libpthread-2.21.so       pthread_mutex_init
297       0.0059  (no location information)   kallsyms                 netif_receive_skb_sk
295       0.0059  util-strlcpyu.c:52          suricata                 strlcpy
293       0.0059  (no location information)   kallsyms                 try_to_wake_up
291       0.0058  flow.c:270                  suricata                 FlowHandlePacketUpdate
278       0.0056  (no location information)   kallsyms                 start_this_handle
278       0.0056  detect-engine-address.c:1646 suricata                 DetectAddressCmp
276       0.0055  decode-tcp.c:188            suricata                 DecodeTCP
275       0.0055  (no location information)   kallsyms                 __switch_to
269       0.0054  tmqh-packetpool.c:142       suricata                 PacketPoolWait
263       0.0053  (no location information)   kallsyms                 dequeue_entity
259       0.0052  util-profiling.c:799        suricata                 SCProfilingUpdatePacketAppRecord
258       0.0052  app-layer-parser.c:993      suricata                 AppLayerParserHasDecoderEvents
257       0.0051  (no location information)   kallsyms                 retint_check
254       0.0051  (no location information)   kallsyms                 __netif_receive_skb
254       0.0051  util-time.c:97              suricata                 TimeGet
253       0.0051  flow-bit.c:140              suricata                 FlowBitIsnotset
251       0.0050  (no location information)   kallsyms                 pick_next_task_fair
251       0.0050  (no location information)   kallsyms                 rcu_bh_qs
251       0.0050  flow.c:861                  suricata                 FlowGetAppProtocol
250       0.0050  (no location information)   kallsyms                 copy_user_generic_string
250       0.0050  util-spm-bm.c:77            suricata                 BoyerMooreCtxInit
249       0.0050  (no location information)   kallsyms                 virtqueue_disable_cb
245       0.0049  (no location information)   kallsyms                 ns_to_timespec
245       0.0049  pcre_compile.c:8082         libpcre.so.3.13.1        compile_regex
245       0.0049  counters.c:182              suricata                 StatsSetUI64
242       0.0048  (no location information)   kallsyms                 get_pfnblock_flags_mask
233       0.0047  (no location information)   kallsyms                 sg_init_one
227       0.0045  (no location information)   kallsyms                 __ext4_get_inode_loc
227       0.0045  (no location information)   kallsyms                 note_interrupt
226       0.0045  stream-tcp.c:2307           suricata                 StreamTcpPacketStateEstablished
224       0.0045  defrag-timeout.c:129        suricata                 DefragTimeoutHash
224       0.0045  detect-app-layer-event.c:78 suricata                 DetectAppLayerEventPktMatch
219       0.0044  (no location information)   kallsyms                 free_pages_prepare
218       0.0044  (no location information)   kallsyms                 tpacket_get_timestamp
217       0.0043  (no location information)   kallsyms                 virtqueue_enable_cb_prepare
216       0.0043  (no location information)   kallsyms                 handle_irq_event
215       0.0043  (no location information)   kallsyms                 handle_mm_fault
210       0.0042  (no location information)   kallsyms                 skb_release_all
206       0.0041  (no location information)   kallsyms                 irq_move_irq
202       0.0040  (no location information)   kallsyms                 common_file_perm
